FECcommittee,icpsr,first,last,fullname,state,chamber,district,party,start,end,twitter,fold,num.tweets,done.handle.no.file,missing,tweets.svd,prop.tweets,has.alt,multiple.dist,alt.dist,dup.account,Official
C00558437,21538,bonnie,watsoncoleman,bonniewatsoncoleman,NJ,House,12,D,1/6/2015,1/3/2019,repbonnie,2,2766,1,1,NA,NA,0,,,,1
C00013128,14280,henry,waxman,henrywaxman,CA,House,33,D,1/14/1975,1/3/2015,waxmanclimate,5,794,0,1,NA,NA,1,1,30,,0
C00013128,14280,henry,waxman,henrywaxman,CA,House,33,D,1/14/1975,1/3/2015,WaxmanHenry,,,,,,,1,1,30,,0
C00430686,40706,jim,webb,jimwebb,VA,Senate,NA,D,1/4/2007,1/3/2013,jimwebbusa,6,1985,1,1,NA,NA,0,,,,0
C00502229,21360,randy,weber,randyweber,TX,House,14,R,1/3/2013,1/3/2019,txrandy14,3,2131,1,1,NA,NA,1,,,,0
C00502229,21360,randy,weber,randyweber,TX,House,14,R,1/3/2013,1/3/2019,WeberforTexas,,,,,,,1,,,,0
C00481911,21116,daniel,webster,danielwebster,FL,House,11,R,1/5/2011,1/3/2019,repwebster,6,2915,1,0,818,0.281,1,,,,1
C00481911,21116,daniel,webster,danielwebster,FL,House,11,R,1/5/2011,1/3/2019,WebsterCongress,,,,,,,1,,,,0
C00327742,29926,anthony,weiner,anthonyweiner,NY,House,9,D,1/6/1999,6/21/2011,repweiner,4,483,0,0,363,0.752,0,,,,1
C00413179,,peter,welch,peterwelch,VT,House,0,D,,,WelchForVT,,,,,,,,,,,
C00413179,20750,peter,welch,peterwelch,VT,House,0,D,1/4/2007,1/3/2019,peterwelch,5,1379,1,1,NA,NA,0,,,,0
C00497818,21351,brad,wenstrup,bradwenstrup,OH,House,2,R,1/3/2013,1/3/2019,repbradwenstrup,0,4270,1,1,NA,NA,1,,,,1
C00497818,21351,brad,wenstrup,bradwenstrup,OH,House,2,R,1/3/2013,1/3/2019,bradwenstrup,,,,,,,1,,,,0
C00435628,21119,allen,west,allenwest,FL,House,22,R,1/5/2011,1/3/2013,allenwest,5,8838,0,0,648,0.073,0,,,,0
C00548180,21563,bruce,westerman,brucewesterman,AR,House,4,R,1/6/2015,1/3/2019,repwesterman,0,2960,1,0,906,0.306,1,,,,1
C00548180,21563,bruce,westerman,brucewesterman,AR,House,4,R,1/6/2015,1/3/2019,bruce_westerman,,,,,,,1,,,,0
C00548180,21563,bruce,westerman,brucewesterman,AR,House,4,R,1/6/2015,1/3/2019,WestermanAR,,,,,,,1,,,,0
C00387126,20506,lynn,westmoreland,lynnwestmoreland,GA,House,3,R,1/4/2005,1/3/2017,westmoreland_ga,5,4173,0,0,3378,0.809,0,,,,0
C00638023,21983,jennifer,wexton,jenniferwexton,VA,House,10,,,,JenniferWexton,,,,,,,1,,,,0
C00638023,21983,jennifer,wexton,jenniferwexton,VA,House,10,,,,RepWexton,,,,,,,1,,,,1
C00410803,,sheldon,whitehouse,sheldonwhitehouse,RI,Senate,,,,,SheldonforRI,,,,,,,,,,,
C00410803,40704,sheldon,whitehouse,sheldonwhitehouse,RI,Senate,NA,D,1/4/2007,1/3/2019,senwhitehouse,3,4989,1,1,NA,NA,0,,,,1
C00289983,29525,ed,whitfield,edwhitfield,KY,House,1,R,1/4/1995,9/7/2016,repedwhitfield,5,1067,0,0,975,0.914,0,,,,1
C00443218,29534,roger,wicker,rogerwicker,MS,Senate,NA,R,1/4/1995,1/3/2019,senatorwicker,1,3114,1,0,2769,0.889,1,,,,1
C00443218,29534,roger,wicker,rogerwicker,MS,Senate,NA,R,1/4/1995,1/3/2019,RogerWicker,,,,,,,1,,,,0
C00498121,21364,roger,williams,rogerwilliams,TX,House,25,R,1/3/2013,1/3/2019,reprwilliams,5,2166,1,1,NA,NA,1,,,,1
C00498121,21364,roger,williams,rogerwilliams,TX,House,25,R,1/3/2013,1/3/2019,RogerWilliamsTX,,,,,,,1,,,,0
C00460055,,frederica,wilson,fredericawilson,FL,House,24,D,,,FSWInTheHouse,,,,,,,,,,,
C00460055,21118,frederica,wilson,fredericawilson,FL,House,24,D,1/5/2011,1/3/2019,repwilson,5,8482,1,1,NA,NA,0,,,,1
C00368522,20138,joe,wilson,joewilson,SC,House,2,R,12/18/2001,1/3/2019,repjoewilson,4,1296,1,1,NA,NA,1,,,,1
C00368522,20138,joe,wilson,joewilson,SC,House,2,R,12/18/2001,1/3/2019,CongJoeWilson,,,,,,,1,,,,0
C00441014,20756,robert,wittman,robertwittman,VA,House,1,R,12/13/2007,1/3/2019,robwittman,7,4584,1,1,NA,NA,1,,,,0
C00441014,20756,robert,wittman,robertwittman,VA,House,1,R,12/13/2007,1/3/2019,ReElectWittman,,,,,,,1,,,,0
C00166017,14869,frank,wolf,frankwolf,VA,House,10,R,1/5/1981,1/3/2015,repwolfpress,4,350,0,0,326,0.931,0,,,,1
C00477745,21108,steve,womack,stevewomack,AR,House,3,R,1/5/2011,1/3/2019,rep_stevewomack,5,4177,1,1,NA,NA,1,,,,1
C00477745,21108,steve,womack,stevewomack,AR,House,3,R,1/5/2011,1/3/2019,womack4congress,,,,,,,1,,,,0
C00482307,21122,rob,woodall,robwoodall,GA,House,7,R,1/5/2011,1/3/2019,reprobwoodall,5,528,1,1,NA,NA,0,,,,1
C00260265,29309,lynn,woolsey,lynnwoolsey,CA,House,6,D,1/5/1993,1/3/2013,replynnwoolsey,7,0,1,0,NA,NA,1,,,,1
C00260265,29309,lynn,woolsey,lynnwoolsey,CA,House,6,D,1/5/1993,1/3/2013,lynnwoolsey,,,,,,,1,,,,0
C00662171,21984,ron,wright,ronwright,TX,House,6,,,,ron4congress,,,,,,,1,,,,0
C00662171,21984,ron,wright,ronwright,TX,House,6,,,,RepRonWright,,,,,,,1,,,,1
C00329292,29931,david,wu,davidwu,OR,House,1,D,1/6/1999,8/3/2011,davidwu2010,6,28,0,0,26,0.929,0,,,,0
C00308676,14871,ron,wyden,ronwyden,OR,Senate,NA,D,1/5/1981,1/3/2023,ronwyden,7,4410,1,1,NA,NA,1,,,,0
C00308676,14871,ron,wyden,ronwyden,OR,Senate,NA,D,1/5/1981,1/3/2023,WydenForOregon,,,,,,,1,,,,0
C00419630,20723,john,yarmuth,johnyarmuth,KY,House,3,D,1/4/2007,1/3/2019,repjohnyarmuth,0,2581,1,0,1777,0.688,0,,,,1
C00472365,21135,kevin,yoder,kevinyoder,KS,House,3,R,1/5/2011,1/3/2019,repkevinyoder,4,6146,1,0,5127,0.834,1,,,,1
C00472365,21135,kevin,yoder,kevinyoder,KS,House,3,R,1/5/2011,1/3/2019,KevinYoder,,,,,,,1,,,,0
C00494583,21317,ted,yoho,tedyoho,FL,House,3,R,1/3/2013,1/3/2019,reptedyoho,0,776,1,0,695,0.896,1,,,,1
C00494583,21317,ted,yoho,tedyoho,FL,House,3,R,1/3/2013,1/3/2019,TedYoho,,,,,,,1,,,,0
C00545616,21521,david,young,davidyoung,IA,House,3,R,1/6/2015,1/3/2019,repdavidyoung,4,3360,1,0,3216,0.957,1,,,,1
C00545616,21521,david,young,davidyoung,IA,House,3,R,1/6/2015,1/3/2019,YoungForIowa,,,,,,,1,,,,0
C00012229,14066,don,young,donyoung,AK,House,0,R,1/3/1973,1/3/2019,repdonyoung,3,1359,1,1,NA,NA,1,,,,1
C00012229,14066,don,young,donyoung,AK,House,0,R,1/3/1973,1/3/2019,DonYoungAK,,,,,,,1,,,,0
C00459255,21133,todd,young,toddyoung,IN,Senate,NA,R,1/5/2011,1/3/2023,sentoddyoung,6,3062,1,1,NA,NA,1,,,,1
C00459255,21133,todd,young,toddyoung,IN,Senate,NA,R,1/5/2011,1/3/2023,ToddYoungIN,,,,,,,1,,,,0
C00552547,21539,lee,zeldin,leezeldin,NY,House,1,R,1/6/2015,1/3/2019,repleezeldin,6,861,1,0,686,0.797,1,,,,1
C00552547,21539,lee,zeldin,leezeldin,NY,House,1,R,1/6/2015,1/3/2019,leezeldin,,,,,,,1,,,,0
C00550871,21532,ryan,zinke,ryanzinke,MT,House,1,R,1/6/2015,3/1/2017,repryanzinke,6,1202,0,0,861,0.716,1,,,,1
C00550871,21532,ryan,zinke,ryanzinke,MT,House,1,R,1/6/2015,3/1/2017,RyanZinke,,,,,,,1,,,,0
C00670695,41902,mitt,romney,mittromney,UT,Senate,NA,R,,,MittRomney,,,,,,,1,,,,0
C00670695,41902,mitt,romney,mittromney,UT,Senate,NA,R,,,SenatorRomney,,,,,,,1,,,,1
C00676965,41903,rick,scott,rickscott,FL,Senate,NA,R,,,ScottforFlorida,,,,,,,1,,,,0
C00676965,41903,rick,scott,rickscott,FL,Senate,NA,R,,,SenRickScott,,,,,,,1,,,,1
C00306704,49700,jeff,sessions,jeffsessions,AL,Senate,NA,R,,,jeffsessions,,,,,,,0,,,,0
C00652727,41901,josh,hawley,joshhawley,IA,Senate,NA,R,,,SenHawleyPress,,,,,,,1,,,,1
C00652727,41901,josh,hawley,joshhawley,IA,Senate,NA,R,,,HawleyMO,,,,,,,1,,,,0
C00653147,41900,mike,braun,mikebraun,IN,Senate,NA,R,,,SenatorBraun,,,,,,,1,,,,1
C00653147,41900,mike,braun,mikebraun,IN,Senate,NA,R,,,braun4indiana,,,,,,,1,,,,0
C00663914,,debbie,lesko,debbielesko,AZ,House,8,R,,,RepDLesko,,,,,,,,,,,
C00663914,,debbie,lesko,debbielesko,AZ,House,8,R,,,DebbieLesko,,,,,,,,,,,
C00631945,,greg,gianforte,greggianforte,MT,House,1,R,,,GregForMontana,,,,,,,,,,,
C00629659,,jimmy,gomez,jimmygomez,CA,House,34,D,,,RepJimmyGomez,,,,,,,,,,,
C00629659,,jimmy,gomez,jimmygomez,CA,House,34,D,,,JimmyGomezCA,,,,,,,,,,,
C00647339,,john,curtis,johncurtis,UT,House,3,R,,,RepJohnCurtis,,,,,,,,,,,
C00647339,,john,curtis,johncurtis,UT,House,3,R,,,CurtisUT,,,,,,,,,,,
C00675108,,joe,morelle,joemorelle,NY,House,25,D,,,RepJoeMorelle,,,,,,,,,,,
C00675108,,joe,morelle,joemorelle,NY,House,25,D,,,votemorelle,,,,,,,,,,,
C00636092,,kevin,hern,kevinhern,OK,House,1,R,,,repkevinhern,,,,,,,,,,,
C00636092,,kevin,hern,kevinhern,OK,House,1,R,,,krhern,,,,,,,,,,,
C00669358,,mary,gayscanlon,marygayscanlon,PA,House,5,D,,,RepMGS,,,,,,,,,,,
C00669358,,mary,gayscanlon,marygayscanlon,PA,House,5,D,,,marygayscanlon,,,,,,,,,,,
C00655332,,michael,cloud,michaelcloud,TX,House,27,R,,,RepCloudTX,,,,,,,,,,,
C00655332,,michael,cloud,michaelcloud,TX,House,27,R,,,MichaelJCloud,,,,,,,,,,,
C00658567,,susan,wild,susanwild,PA,House,7,D,,,RepSusanWild,,,,,,,,,,,
C00658567,,susan,wild,susanwild,PA,House,7,D,,,wildforcongress,,,,,,,,,,,
C00662650,,troy,balderson,troybalderson,OH,House,12,R,,,RepBalderson,,,,,,,,,,,
C00662650,,troy,balderson,troybalderson,OH,House,12,R,,,Troy_Balderson,,,,,,,,,,,
