screen_name,tweet_id,date,date_collected,text,retweets,favorites,retweeted,divisive,id,name
SenBennetCO,8.58E+17,4/27/2017 19:52,12/9/2018 15:19,I will use every tool at my disposal to protect the #AntiquitiesAct. Our character as a nation is revealed in what we choose to preserve.,99,478,FALSE,0,SenBennetCO8.58e+174/27/2017 19:52,leela
RepTerriSewell,6.87E+17,1/12/2016 18:03,11/30/2018 6:14,Barriers to voting are unacceptable! All voices must be heard. #RestorationTuesday #RestoreTheVOTE https://t.co/Sg4ccKEwZI,8,6,FALSE,0,RepTerriSewell6.87e+171/12/2016 18:03,leela
RepJeffDuncan,6.14E+17,6/25/2015 15:41,12/6/2018 13:14,"""""""""and is prepared to do whatever it takes to uphold and assist its favorites.""""""""",2,5,FALSE,0,RepJeffDuncan6.14e+176/25/2015 15:41,leela
RepRoKhanna,8.68E+17,5/25/2017 20:46,12/6/2018 13:30,The conservative 4th Circuit ruled against the Trump travel ban. Proud of our judicial system. https://t.co/XCtl4V12SE,7,37,FALSE,0,RepRoKhanna8.68e+175/25/2017 20:46,leela
SenDuckworth,9.11E+17,9/22/2017 14:32,11/29/2018 19:25,.@USDOT should end this delay &amp; act to make sure air passengers w/ disabilities are treated w/ the same dignity other air passengers receive,48,180,FALSE,0,SenDuckworth9.11e+179/22/2017 14:32,leela
RepCicilline,7.46E+17,6/23/2016 19:45,11/29/2018 17:09,"Our sit-in has ended, but this fight is far from over. We will not stop until there is action to reduce gun violence https://t.co/brtlWO1uvg",53,97,FALSE,0,RepCicilline7.46e+176/23/2016 19:45,leela
JackKingston,1.06E+18,11/15/2018 23:32,12/9/2018 13:02,".#TheView suddenly believes in due process. 
#Avanetti
https://t.co/05z7fhRaKt",6,8,FALSE,1,JackKingston1.06e+1811/15/2018 23:32,leela
marcorubio,2.49E+17,9/22/2012 1:19,12/6/2018 12:42,I must now turn of my electronic device. I hope tonight's tirade didn't cost me my Executive Platinum status.,122,119,FALSE,0,marcorubio2.49e+179/22/2012 1:19,leela
SpeakerRyan,7.23E+17,4/21/2016 23:46,12/6/2018 14:27,H.R. 4900 is Congress’s best tool to avoid a taxpayer bailout of #PuertoRico. https://t.co/IlJqFS7ivi,32,36,FALSE,0,SpeakerRyan7.23e+174/21/2016 23:46,leela
Westmoreland_GA,6.64E+17,11/10/2015 17:15,11/30/2018 9:00,"The injunction being upheld is a victory to those of us who value and uphold the Constitution, and a victory for the American people.",1,3,FALSE,0,Westmoreland_GA6.64e+1711/10/2015 17:15,leela
DavidJollyFL,9.63E+17,2/12/2018 13:00,12/9/2018 12:48,"@j_torrice Could be anything at this rate. But a $1.5t plan that's really a $200b federal investment over 10 years,… https://t.co/LlZUdK9ywO",1,3,FALSE,0,DavidJollyFL9.63e+172/12/2018 13:00,leela
RepKathleenRice,8.86E+17,7/13/2017 19:51,11/28/2018 23:20,"Sec. Kelly: agents would need to be able to see through any barrier so that--
POTUS: So they don't get hit by 60 lb. bags of drugs, exactly https://t.co/kjdmeJuQX3",6,9,FALSE,1,RepKathleenRice8.86e+177/13/2017 19:51,leela
RepBarragan,9.78E+17,3/24/2018 18:34,11/28/2018 10:35,It was great marching alongside so many of our students and families this morning at the #LosAngeles #MarchForOurLives. This is a wake up call for members of Congress that we must act so that not one more life is lost to gun violence. #EndGunViolence #NeverAgain #EnoughIsEnough https://t.co/qhM1phbmZt,18,42,FALSE,0,RepBarragan9.78e+173/24/2018 18:34,leela
RobinLynneKelly,8.65E+17,5/17/2017 0:01,11/29/2018 23:57,I'm demanding an independent prosecutor to get to the bottom of the #TrumpRussia crisis. Join me? https://t.co/rOUhSR82nm,5,8,FALSE,0,RobinLynneKelly8.65e+175/17/2017 0:01,leela
CoryBooker,2.93E+17,1/21/2013 17:32,12/6/2018 11:57,MT @Panaiam: Again awesome prayer Luis Leon! Bilingual prayer!  Go USA!  Diversity! Proud to be an American!,90,29,FALSE,0,CoryBooker2.93e+171/21/2013 17:32,leela
SenGaryPeters,6.14E+17,6/25/2015 15:29,12/9/2018 15:22,I hope today's ruling encourages my GOP colleagues to stop trying to repeal #ACA &amp; start working across the aisle: http://t.co/QsHD2RmkHL,5,5,FALSE,0,SenGaryPeters6.14e+176/25/2015 15:29,leela
kyrstensinema,3.03E+17,2/16/2013 17:52,12/6/2018 12:33,@PhilPerspective I've always said ill work with anyone to solve problems!,0,0,FALSE,0,kyrstensinema3.03e+172/16/2013 17:52,leela
RepGarrett,7.07E+17,3/6/2016 19:14,11/28/2018 17:04,"I'm saddened to hear about the passing of First Lady Nancy Reagan. She will be remembered for her grace, her character, and her service.",2,11,FALSE,0,RepGarrett7.07e+173/6/2016 19:14,leela
auctnr1,4593180702,10/4/2009 2:04,12/9/2018 12:34,Dick Morris - going through a laudry list of Senators that are exposed to damage from healthcare bill to the point to where they may give up,0,0,FALSE,0,auctnr1459318070210/4/2009 2:04,leela
RepJeffDuncan,7.19E+17,4/8/2016 22:23,12/9/2018 14:16,My hat don't hang on the same nail too long.My ears can't stand to hear the same ol' song. If someone said I ever gave a damn.....,2,6,FALSE,0,RepJeffDuncan7.19e+174/8/2016 22:23,leela
JohnKDelaney,9.05E+17,9/5/2017 15:11,11/29/2018 18:54,@snollygostr @jdistaso @jmartNYT @AFLCIO This was an Ad in a program at the labor bfast not a mail piece. I'm pretty sure the labor bfast printed its program with union printer.,0,0,FALSE,0,JohnKDelaney9.05e+179/5/2017 15:11,leela
RosLehtinen,9.44E+17,12/22/2017 14:55,12/6/2018 13:45,"Now that a winner was determined in #Honduras election, Admin is right 2 recognize @JuanOrlandoH as President-elect… https://t.co/xaGoI03bq1",41,78,FALSE,0,RosLehtinen9.44e+1712/22/2017 14:55,leela
DavidJollyFL,8.41E+17,3/12/2017 20:47,12/9/2018 12:48,"Premise of *2009* Ryan plan: 
""""""""give Americans the same standard health benefits as Members of Congress."""""""" Nailed it!

https://t.co/7vKdD49b0g",1,8,FALSE,0,DavidJollyFL8.41e+173/12/2017 20:47,leela
tedlieu,3.20E+17,4/3/2013 19:58,12/6/2018 14:31,It is right to help students who need free/ reduced lunches. But wrong to do it at expense of students who happen to go to Torrance schools.,0,0,FALSE,0,tedlieu3.2e+174/3/2013 19:58,leela
keithellison,4.51E+17,4/2/2014 16:00,12/6/2018 12:31,"Is it really a mystery why we haven’t #RenewUI, #RaisetheWage, or passed #immigrationreform? #McCutcheon",40,29,FALSE,0,keithellison4.51e+174/2/2014 16:00,leela
RepKevinBrady,6.17E+17,7/4/2015 14:54,12/6/2018 13:16,of attempts by their legislature to extend an unwarrantable jurisdiction over us. We have reminded them of the circumstances,1,0,FALSE,0,RepKevinBrady6.17e+177/4/2015 14:54,leela
repdonnaedwards,7.58E+17,7/27/2016 18:30,12/9/2018 14:03,"Can @EPAWater discuss how unlike traditional stormwater infrastructure, use of innovative/green solutions can be helpful? #WaterFinance",9,11,FALSE,0,repdonnaedwards7.58e+177/27/2016 18:30,leela
Scotttaylorva,7.81E+17,9/27/2016 2:20,12/6/2018 13:48,"#debatenight #debates You where there when it was a little infant, now in 30 countries #ISIS #Clinton",0,4,FALSE,0,Scotttaylorva7.81e+179/27/2016 2:20,leela
CoryBooker,2.23E+17,7/12/2012 14:59,12/6/2018 11:59,"RT @nichole_blaze: O'scanlon: """"""""should've chose my words more carefully"""""""". Understatement.  RT @tomamoran: Cheap shot on Cory ://t.co/mj22D8Fh",0,0,FALSE,1,CoryBooker2.23e+177/12/2012 14:59,leela
RepJohnConyers,9.23E+17,10/24/2017 14:52,11/29/2018 17:53,"RT @lauradfrancis: .@repjohnconyers: this version of ag guestworker bill is """"""""not an improvement over its predecessors""""""""",2,0,FALSE,0,RepJohnConyers9.23e+1710/24/2017 14:52,leela
RepScottRigell,5.71E+17,2/26/2015 15:16,12/9/2018 14:47,"When it comes to #sequestration, I feel like a broken record. Oh well - #illkeeptalking #notlettingitgo More here: http://t.co/sTuSrxMtPw",4,0,FALSE,0,RepScottRigell5.71e+172/26/2015 15:16,leela
RepDWStweets,1.01E+18,6/29/2018 15:10,11/30/2018 8:44,"RT @OfficialCBC: .@capgaznews reporters worked through their tears Thursday to get the next day's paper out, displaying the courage &amp; commi…",168,0,FALSE,0,RepDWStweets1.01e+186/29/2018 15:10,leela
CoryBooker,2.49E+17,9/22/2012 12:17,12/6/2018 11:56,"Respectfully, you really need a cup of coffee MT @snarky01: Were u not elected 2 do a job? Why are u promoting your personal interests?",29,20,FALSE,1,CoryBooker2.49e+179/22/2012 12:17,leela
RepCurbelo,6.84E+17,1/4/2016 19:16,11/29/2018 18:39,RT @RaquelRegalado: En vivo con @RepCurbelo en @LaPoderosa670 hablando sobre cambios a la ley del ajuste cubano,4,0,FALSE,0,RepCurbelo6.84e+171/4/2016 19:16,leela
MarioDB,8.39E+17,3/7/2017 20:32,11/29/2018 19:10,RT @martinoticias: Lincoln y Mario Díaz-Balart reciben premio nacional por servicio excepcional https://t.co/crVzhYKOTJ https://t.co/tb4MM1…,12,0,FALSE,0,MarioDB8.39e+173/7/2017 20:32,leela
DanaRohrabacher,7.46E+17,6/24/2016 18:57,11/30/2018 5:12,@terencemyers If U would retire 2nd Amendment do you feel same about the freedom of speech &amp; press guaranteed by the First amendment,0,0,FALSE,0,DanaRohrabacher7.46e+176/24/2016 18:57,leela
SenatorCollins,3.33E+17,5/9/2013 15:21,11/28/2018 14:57,RT @MarkUdall: #Sequestration balances budget on backs of #middleclass. It's time to pass my &amp; @SenatorCollins #bipartisan plan: http:/…,5,0,FALSE,0,SenatorCollins3.33e+175/9/2013 15:21,leela
mikehonda17,5.26E+17,10/24/2014 4:24,11/28/2018 18:32,RT @eastbaycitizen: Honda Puts Up His Dukes As Seniors Group Questions Khanna | http://t.co/wo5fmPebH8 | #CA17 http://t.co/iTnkYBK1gJ http:…,8,0,FALSE,0,mikehonda175.26e+1710/24/2014 4:24,leela
RepKevinYoder,9.89E+17,4/23/2018 21:51,12/9/2018 14:21,"Check out my latest weekly email newsletter below, where I discuss our last Tax Day under the old tax code, Never A… https://t.co/648c1igAYF",3,6,FALSE,0,RepKevinYoder9.89e+174/23/2018 21:51,leela
RepCohen,3.09E+17,3/5/2013 20:25,12/6/2018 12:59,"If the people of Colorado and Washington want to legalize small amounts of marijuana, that is their decision  http://t.co/g0rUhvBepS",9,1,FALSE,0,RepCohen3.09e+173/5/2013 20:25,leela
jahimes,4.46E+17,3/18/2014 16:26,12/6/2018 12:17,"@davidsirota Happy to let public judge who is being reasonable here and who is name calling, twisting words and leveling personal attacks.",0,2,FALSE,1,jahimes4.46e+173/18/2014 16:26,leela
BenSasse,9.34E+17,11/23/2017 12:57,11/30/2018 5:43,RT @SenSasse: Today we give thanks that our country was based on the premise of religious liberty. Happy Thanksgiving. https://t.co/x3aEaFD…,274,0,FALSE,0,BenSasse9.34e+1711/23/2017 12:57,leela
tedcruz,7.08E+17,3/11/2016 2:15,12/6/2018 14:29,I’ve introduced a detailed immigration plan to secure the border and stop illegal immigration. Read it: https://t.co/xaOc2dSYeP #GOPDebate,478,664,FALSE,0,tedcruz7.08e+173/11/2016 2:15,leela
BruceBraley,5232267301,10/28/2009 15:08,12/6/2018 11:45,House Energy and Commerce Committee Republicans changed on 10C/28C: View this change or all changes. http://bit.ly/4pA2Zk,0,0,FALSE,0,BruceBraley523226730110/28/2009 15:08,leela
tmac4congress,5.18E+17,10/3/2014 17:25,11/28/2018 21:02,"From @SaveJersey debate coverage: @AimeeBelgard """"""""was thoroughly unimpressive"""""""" http://t.co/thNHqeFJ44",8,4,FALSE,0,tmac4congress5.18e+1710/3/2014 17:25,leela
RepJoeWilson,9.74E+17,3/13/2018 23:01,11/29/2018 2:34,"I am grateful for the leadership and service of Rex Tillerson, and I know that Mike Pompeo will also represent America with incredible courage and steadfast support for American values.",2,6,FALSE,0,RepJoeWilson9.74e+173/13/2018 23:01,leela
RepJeffDuncan,4.89E+17,7/14/2014 22:04,12/6/2018 13:14,It costs US abt $3.2M to build 1 mi of fence and abt $4 - $6M to build a 4 lane interstate hwy in rural areas (CRS data) #BuildTheFence,30,18,FALSE,0,RepJeffDuncan4.89e+177/14/2014 22:04,leela
RonPaul,1.01E+18,6/18/2018 21:09,12/9/2018 15:03,Why Can't We Sue the TSA For Assault? https://t.co/wGnXqnjtxn https://t.co/s82FcKsSSp,108,228,FALSE,0,RonPaul1.01e+186/18/2018 21:09,leela
SenJohnBarrasso,2.53E+17,10/1/2012 18:36,12/6/2018 14:11,Joined @JohnCornyn @RoyBlunt @InhofePress today in calling on the President to refrain from raiding the #SPR http://t.co/N24S8Mlp,4,0,FALSE,0,SenJohnBarrasso2.53e+1710/1/2012 18:36,leela
PatTiberi,5.75E+17,3/10/2015 18:35,11/30/2018 7:30,Good news for #2ndamendment supporters! http://t.co/8w25Osop87,0,1,FALSE,0,PatTiberi5.75e+173/10/2015 18:35,leela
treyradel,8.04E+17,11/30/2016 22:58,12/6/2018 14:33,"Is Kellogg's some sorta big advertiser in Breitbart? """"""""Eat ur Frosted Flakes and overthrow Paul effin Ryan!""""""""-or just… https://t.co/Yf9HhGo8U3",0,0,FALSE,1,treyradel8.04e+1711/30/2016 22:58,leela
SenatorIsakson,9.69E+17,2/27/2018 21:41,12/9/2018 15:16,"Lisa Branch will serve us in the U.S. Court of Appeals for the 11th Circuit with honor and privilege, and I’m pleas… https://t.co/rUG5jDBndL",8,26,FALSE,0,SenatorIsakson9.69e+172/27/2018 21:41,leela
DougLaMalfa,6.25E+17,7/25/2015 16:58,11/30/2018 0:40,RT @ScottSaxman1: So what offends you today America??? This is getting old.... http://t.co/4noiZ3Sfrw,39,0,FALSE,0,DougLaMalfa6.25e+177/25/2015 16:58,leela
MarioDB,7.30E+17,5/11/2016 20:28,11/29/2018 19:10,"#ZikaVirus has the potential to become a public health crisis, + @FLGovScott's leadership on the issue is vital #FL https://t.co/bcLjAqp7BR",2,1,FALSE,0,MarioDB7.3e+175/11/2016 20:28,leela
keithellison,6.53E+17,10/9/2015 23:35,12/9/2018 13:17,"Today, I, and 37 of my colleagues in Congress, sent a letter urging @LorettaLynch to investigate armed protests outside of places of worship",72,76,FALSE,0,keithellison6.53e+1710/9/2015 23:35,leela
McCaskillOffice,7.46E+17,6/23/2016 14:28,11/30/2018 1:57,"Did you know customer service reps may not inform you of better prices EVEN WHEN ASKED? #customerdisservice

https://t.co/Yjh16dxKt0",3,1,FALSE,0,McCaskillOffice7.46e+176/23/2016 14:28,leela
Perduesenate,5.20E+17,10/8/2014 15:21,11/28/2018 22:49,RT @jeffbreedlove1: In Perry @Perduesenate scored a clear victory over @MichelleNunnGA  he was positive while she was reduced to petty atta…,14,0,FALSE,0,Perduesenate5.2e+1710/8/2014 15:21,london
SteveWorks4You,9.47E+17,12/31/2017 10:40,11/30/2018 7:13,RT @MrAndyNgo: Correcting the record: Western media has reported that not wearing #hijab no longer results in arrests in Iran. Not quite ri…,846,0,FALSE,0,SteveWorks4You9.47e+1712/31/2017 10:40,london
ReElectCummings,8.43E+17,3/17/2017 13:13,11/28/2018 15:31,https://t.co/VGpbIqowKN... https://t.co/5TYfW1tApG,1,1,FALSE,0,ReElectCummings8.43e+173/17/2017 13:13,london
RepDonBeyer,1.01E+18,7/5/2018 16:17,11/29/2018 12:56,"RT @RepTedLieu: Reports indicate @EPAScottPruitt used """"""""secret"""""""" calendars &amp; schedules to hide controversial mtgs w/ industry players. Willfu…",2199,0,FALSE,0,RepDonBeyer1.01e+187/5/2018 16:17,london
RosLehtinen,7.74E+17,9/9/2016 19:22,12/6/2018 13:45,Mas atrocidades desde #Cuba: @sirleyAvilaLeo1 regresa a casa y encuentra q agentes d #Castro han ocupado su hogar https://t.co/m68fpZk8oA,22,4,FALSE,0,RosLehtinen7.74e+179/9/2016 19:22,london
RepCarbajal,9.41E+17,12/12/2017 20:03,11/28/2018 14:14,"Si vive cerca de Santa Barbara, manténganse atento a las órdenes de evacuación en https://t.co/yRsJfNc1vX.
Si ve fuego acercándose, evacúe de inmediato, no espere a una orden de evacuación.",1,2,FALSE,0,RepCarbajal9.41e+1712/12/2017 20:03,london
RosLehtinen,2.18E+17,6/27/2012 16:10,12/6/2018 13:45,@JuanBinario Obama debe implementar una estrategia p/ contrarrestar esta influencia en el Hemisferio Occidental. http://t.co/TbOXW6Ev,0,0,FALSE,0,RosLehtinen2.18e+176/27/2012 16:10,london
marcorubio,1.06E+18,10/28/2018 21:07,11/30/2018 5:28,"While HATE is a sad feature of our fallen nature,tapping into ANGER for political gain is a choice. One both the left &amp; right now fully embrace. And while the politics of ANGER may not driven by HATE, those who do HATE can be driven to violence by the politics of ANGER.",178,867,FALSE,0,marcorubio1.06e+1810/28/2018 21:07,london
repblumenauer,8.37E+17,3/2/2017 19:55,11/29/2018 15:17,RT @NancyPelosi: Just helping out @RandPaul. #ReleaseTheHounds #WheresTheBill https://t.co/LrooyMFWA0,1442,0,FALSE,0,repblumenauer8.37e+173/2/2017 19:55,zoe
RepJeffDenham,9.20E+17,10/17/2017 17:11,11/28/2018 15:47,https://t.co/tqYILcw802,1,2,FALSE,0,RepJeffDenham9.2e+1710/17/2017 17:11,zoe
treyradel,2.93E+17,1/20/2013 13:46,12/9/2018 15:53,http://t.co/Sk1MlJXP,1,0,FALSE,0,treyradel2.93e+171/20/2013 13:46,zoe
MaryBonoUSA,15480296439,6/5/2010 10:49,12/6/2018 12:43,http://www.facebook.com/photo.php?pid=6066993&l=f190c2280a&id=99006430663,0,0,FALSE,0,MaryBonoUSA154802964396/5/2010 10:49,zoe
DavidJollyFL,9.66E+17,2/21/2018 1:58,11/29/2018 23:42,https://t.co/ThYwEA8hkA,39,127,FALSE,0,DavidJollyFL9.66e+172/21/2018 1:58,zoe
DonnaFEdwards,7.83E+17,10/3/2016 10:16,12/9/2018 12:50,https://t.co/hl4xPTX20K,1,1,FALSE,0,DonnaFEdwards7.83e+1710/3/2016 10:16,zoe
GoMarlin,2.26E+17,7/18/2012 20:27,11/29/2018 1:05,http://t.co/HF57mfI9,0,0,FALSE,0,GoMarlin2.26e+177/18/2012 20:27,zoe
MarshaBlackburn,9.50E+17,1/8/2018 15:43,11/29/2018 13:11,"Less taxation + less regulation + less litigation = innovation and job creation. This formula works every single time, and is our goal this year in Congress. https://t.co/RciasmL85O",92,261,FALSE,0,MarshaBlackburn9.5e+171/8/2018 15:43,zoe
KamalaHarris,1.01E+18,6/21/2018 22:33,11/29/2018 22:09,"More than ever, we need leaders in state government with courage and tenacity to fight for progressive values. That’s why I was in Maryland yesterday to support @BenJealous’s campaign for governor ahead of Tuesday’s primary. https://t.co/ZORxkFSnEO",177,627,FALSE,0,KamalaHarris1.01e+186/21/2018 22:33,zoe
RepKihuen,8.90E+17,7/25/2017 19:02,11/30/2018 0:11,.@kay_shelba https://t.co/F5HK1waikU,0,4,FALSE,0,RepKihuen8.9e+177/25/2017 19:02,zoe
senorrinhatch,7.74E+17,9/7/2016 21:06,12/6/2018 14:12,"""""""""Obamacare is only making things worse for Utahns""""""""-- Hatch on the Senate floor today. #Obamacare @SenateGOP #utpol https://t.co/alBKY2YtPM",4,5,FALSE,0,senorrinhatch7.74e+179/7/2016 21:06,zoe
RepYvetteClarke,8.80E+17,6/28/2017 16:51,12/9/2018 15:01,How many people would lose health insurance in your state under #Trumpcare? https://t.co/HrwW6FK4Sq,12,6,FALSE,0,RepYvetteClarke8.8e+176/28/2017 16:51,zoe
CoryBooker,6.29E+17,8/5/2015 22:15,12/6/2018 11:58,So great to meet you. Thanks for reaching out. All the best with the rest of your summer. https://t.co/TotTWYu0t2,4,14,FALSE,0,CoryBooker6.29e+178/5/2015 22:15,zoe
tedlieu,3.29E+17,4/30/2013 20:01,12/9/2018 15:51,"@SpikeConnor Yes, we have mounds of material from major medical organizations saying reparative therapy causes harm.",0,0,FALSE,0,tedlieu3.29e+174/30/2013 20:01,zoe
TedYoho,2.18E+17,6/26/2012 20:35,11/29/2018 2:35,Ted and team Yoho driving from Jacksonville to Ocala in the pouring rain right now in very slow moving traffic.... http://t.co/3olymdrX,0,0,FALSE,0,TedYoho2.18e+176/26/2012 20:35,zoe
RepSeanMaloney,1.05E+18,10/17/2018 19:30,11/30/2018 1:41,"My dogs, sheep, goats, and ducks are part of the family – I can’t understand how anyone could hurt a defenseless animal. I’m a proud co-sponsor of the Humane Cosmetics Act to stop cruel and unnecessary testing on animals. https://t.co/21HUjJGi4X",4,19,FALSE,0,RepSeanMaloney1.05e+1810/17/2018 19:30,zoe
SenJeffMerkley,9.01E+17,8/24/2017 2:15,12/9/2018 15:30,This is outright unacceptable &amp; un-American. I'll repeat: we should accept w/gratitude all patriots willing to serve https://t.co/ZU54vypWRE,890,2112,FALSE,1,SenJeffMerkley9.01e+178/24/2017 2:15,zoe
SenBobCasey,8.82E+17,7/3/2017 13:52,12/9/2018 15:19,"Young, old it doesn't matter: the @SenateGOP health care plan is a bad deal for all. https://t.co/IcgdfErPkc",485,928,FALSE,1,SenBobCasey8.82e+177/3/2017 13:52,zoe
RepMikeCoffman,1.32E+17,11/2/2011 21:08,12/9/2018 14:33,Cosponsored a bipartisan bill that would remove export controls negatively affecting U.S. aerospace industry http://t.co/7Ban1qhT,3,0,FALSE,0,RepMikeCoffman1.32e+1711/2/2011 21:08,zoe
Dennis_Kucinich,5.26E+17,10/25/2014 5:18,11/28/2018 19:48,RT @KBOO: Interview w @Dennis_Kucinich @EJKucinich on @ORRightToKnow measure 92 tune in @5:30 90.7 FM http://t.co/NOyfcxwkSq http://t.co/Jz…,13,0,FALSE,0,Dennis_Kucinich5.26e+1710/25/2014 5:18,zoe
SenBennetCO,6.91E+17,1/22/2016 21:10,11/29/2018 12:55,We've got to clean up the 1000's of abandoned mines across Colorado and in the west. Our plan could help do it https://t.co/x3XYn11id8,8,7,FALSE,0,SenBennetCO6.91e+171/22/2016 21:10,zoe
CoryBooker,2729634243,7/20/2009 0:02,12/6/2018 11:57,"It is still going strong, On Oliver Street near the park  RT @randomtom83  where is the festival?",0,1,FALSE,0,CoryBooker27296342437/20/2009 0:02,zoe
SenTomCotton,6.17E+17,7/4/2015 15:30,12/9/2018 15:38,Today we celebrate the birth of our great nation. Happy #July4th everyone! http://t.co/9VW5VuWW5T,24,31,FALSE,0,SenTomCotton6.17e+177/4/2015 15:30,zoe
PeteSessions,7.88E+17,10/18/2016 20:17,11/30/2018 6:14,Are you planning a visit to Washington this fall? Visit my website to learn how my office can help you set up tours: https://t.co/kjQbAwxNhF,3,5,FALSE,0,PeteSessions7.88e+1710/18/2016 20:17,zoe
