,screen_name,text,date,retweets,favorites,polarizing,chamber,party
102,repdonnaedwards,"Let’s remember Benjamin O Davis, Sr’s work as an Army officer &amp; 1st #AA General in the US Armed Forces: https://t.co/KOFfmsl39G #BHM2016",2016-02-19 23:04:00,4,5,0,House,D
33,DonnaFEdwards,RT @SallyQYates: POTUS on 12/28: “I have the absolute right to do what I want with the Justice Department.” Today he slanders career DOJ pr…,2018-01-02 23:40:00,38086,0,1,,
45,TeamSheaPorter,"RT @MSNBC: Gun deaths in 2016: 5,000 and counting https://t.co/rEOzfFa7FX https://t.co/YR18WnHkIL",2016-06-03 02:30:00,64,0,0,House,D
23,EllisonCampaign,"Proud of my Senator today. Bravo, @alfranken! https://t.co/bXroLmOyUR",2017-01-10 23:38:00,28,79,0,,
28,RogerWilliamsTX,MT @SteveParkhurst: Smart effort by @RogerForSenate - Stand against the #ObamaEconomy. #TXsen #tcot #txcot http://TheObamaEconomy.com,2011-05-10 15:44:00,0,0,1,,
3,ToddAkin,Obama/McCaskill attacking the Middle Class again. Taxpayers need relief from runaway spending! #timeforchange #MOSen http://t.co/V3zBcWd8,2012-04-17 20:29:00,1,0,1,House,R
158,RepPaulTonko,"Last gov't shutdown cost US taxpayers $24 billion ($1.5 billion/day) &amp; blocked or delayed creation of 120,000 jobs. He wants to do it again? https://t.co/rmzusonY4f",2017-05-02 18:43:00,28,31,1,House,D
152,InhofePress,7:05AM (CST) Senator Inhofe will be talking Sequestration &amp; Egypt with John Yates on KTMC. Listen LIVE here: http://t.co/JidU2wnR39,2013-07-16 12:04:00,0,0,0,Senate,R
57,billhuizenga,.@Mlive on #MIAG: Re-elect Bill Schuette as Michigan's attorney general http://t.co/hEqEymrSaD,2014-10-25 00:23:00,0,0,0,House,R
43,Abby4Iowa,"My first ""take your daughter to work"" day! :) He told the guys the state was coming to look at their project.... http://t.co/6ubsazXPP0",2015-07-08 17:23:00,0,1,0,,
5,standwithraul,Together we must show that the majority of Americans reject Trump's out-of-touch agenda for our country.,2017-01-02 20:43:00,3,3,1,House,D
15,RepLynch,Wishing you a wonderful Christmas. Please remember Newtown &amp; our troops in Afghanistan and around the world. May 2013 bring peace on Earth.,2012-12-25 17:39:00,1,0,0,,
69,RandyNeugebauer,Watch the #GOP Response to the #StateoftheUnion at my website: http://bit.ly/f0BHF4,2011-01-25 15:29:00,0,0,0,House,R
65,LindseyGrahamSC,Yesterday I met with leaders on the front lines of the opioid epidemic in the Upstate. We must educate our communities about the effect these drugs can have on our neighbors - this issue can touch the last person or family you'd expect. https://t.co/lYfMD7z3NT,2018-04-05 18:03:00,26,70,0,,
121,RepSteveIsrael,Proud to announce first ever Pride Night at #CitiField with @Mets and @LGBTNetworkNY #PrideNightMets #LGM https://t.co/QUhqGdwa08,2016-02-23 17:46:00,3,4,0,House,D
104,RobWittman,"Freedom isn’t free. It has been fought for, it has been won, it has been defended. Thank you to all who are serving or have served - we owe you so much. https://t.co/foTtJEPa0O",2019-05-27 14:26:00,6,23,0,House,R
34,RepRutherfordFL,"I am supporting @realDonaldTrump's budget agreement. Sequestration, or another government shutdown or continuing resolution, would not only jeopardize our national security, but would also set back our nation’s booming economy. See my full statement below. https://t.co/MltXm8wuQo",2019-07-25 17:40:00,2,13,1,House,R
23,Vote4Cleaver,Congratulations Team USA! What an incredible win! #FIFAWomensWorldCup #USA #EqualPay #Champions ⚽️ ⭐️ 🇺🇸 https://t.co/2lqyfHclsj,2019-07-07 21:05:00,1,1,0,,
3,DebbieforFL,Thank you @DeFede #FacingSouthFlorida @CBSMiami for inviting me to discuss why we need a change in #FL26 - Watch the interview tomorrow at 8:30 am! https://t.co/ZouWuFC82w,2017-12-16 15:57:00,3,7,0,,
111,SenJohnThune,Headed to the South Dakota State Fair. Looking forward to another great South Dakota tradition. #SDstatefair,2011-09-02 16:43:00,2,0,0,Senate,R
89,SherrodBrown,Sherrod: Students shouldn’t have to sign away their financial futures to get a good education. RT if you agree http://t.co/6nk51xEIqR,2013-06-04 21:00:00,39,3,0,,
15,RepCummings,RT @OversightDems: @RepCummings .@RepCummings: Our country has a fundamental principle that a foreign adversary should not and cannot inter…,2017-07-11 17:21:00,86,0,0,House,D
142,RepSamGraves,#OnThisDay in 1789 #Congress authorizes Postmaster General. Pic-largest postcard via mail 1927 http://t.co/ZzWpRRbvtm http://t.co/mDmPiWPUXR,2014-09-22 15:38:00,1,1,0,House,R
12,RepStephMurphy,"@RepRickCrawford Agreed, @RepRickCrawford. My bill, the Gun Violence Research Act, or HR1478, would permanently repeal the #DickeyAmendment. I would welcome your co-sponsorship to make this a bipartisan effort.",2018-02-16 20:03:00,2,2,0,House,D
74,RepJoseSerrano,RT @RepPeteAguilar: The clock is ticking. @HouseGOP must end the political games &amp; fund DHS #DontShutDownOurSecurity http://t.co/3OfAGhGSP7,2015-02-19 18:10:00,133,0,1,House,D
48,janschakowsky,"Remember when Republicans said their bill would protect people with pre-existing conditions?? Well, the truth is out…https://t.co/6TfaayT8Qi",2017-05-25 15:24:00,47,64,1,House,D
137,SenSchumer,Need another reason to love NY? @runnersworld says we have 3 of the top 25 US cities to log miles. https://t.co/aFT3l7zGiQ #NYruns #running,2016-09-01 20:11:00,3,9,0,Senate,D
11,RepJimCosta,Please join me in celebrating International Women’s Day and all the women throughout the world who make a positive difference. #IWD2016,2016-03-08 19:45:00,0,2,0,House,D
48,RepFrankGuinta,Congrats to @TedGatsas -- Manchester's new mayor. The swearing-in ceremony w Granite State legend Ray #Wieczorek... https://t.co/uVoaCym530,2016-01-06 19:03:00,0,0,0,House,R
75,Malinowski,"RT @davidfrum: Key fact from Giffords Center

""Women in the U.S. are 21 times more likely to be killed with a gun than women in other high-…",2019-08-09 15:13:00,2985,0,0,,
113,chakafattah,RT @troywilmore: .@RepBrady and. .@chakafattah live on .@900amWURD.#phillypolitics https://t.co/Jrr5xinLEx,2016-02-29 14:00:00,1,0,0,House,D
85,RepMcGovern,The Senate should agree to this amendment so we can finally recognize &amp; honor our brave atomic veterans.,2018-07-16 21:01:00,2,4,0,House,D
22,RepRonEstes,"RT @FoxBusiness: #BreakingNews: Jobs jump by 313,000 in February, best since July 2016 #JobsReport https://t.co/kjevRC4UZp https://t.co/jYY…",2018-03-09 13:52:00,409,0,0,,
142,KamalaHarris,"Homeownership has historically been one of the most powerful drivers of wealth, which is why I announced a plan to shrink the racial homeownership gap, helping up to four million families with down payments and closing costs.
https://t.co/C9GoIuyVA7",2019-07-06 22:10:00,549,2485,0,Senate,D
189,Nanette4CA,.@bradpomerance @CalChannel Thank you for having me to discuss #education &amp; #homelessness #CA44 #debtfreecollege,2016-08-10 17:34:00,1,1,0,,
63,DaveJoyceOH14,"Thx to all for helping out today! Nothing is slowing us down, if you want to help email katie@joyceforcongress.com https://t.co/DMMyyQc1yv",2016-02-13 19:35:00,2,1,0,,
97,RubenKihuen,"RT @BenBotkin1: .@RubenKihuen gets endorsed by Congressional Black Caucus PAC today in CD-4 race.
#RJnow",2016-05-27 18:42:00,1,0,0,,
54,BradleyByrne,RT @fmtalk1065: Congressman Bradley Byrne takes the stage at Trumpapalooza II. https://t.co/xDQrh3D0k7,2016-12-17 20:52:00,7,0,1,,
11,RepSchrader,"#IdRatherHave a balanced Fed budget with money 2 invest in domestic programs, than be in debt, do nothing, still get paid. #NoBudgetNoPay",2012-05-16 14:22:00,1,0,1,House,D
146,DWStweets,"The right to vote must NOT be contingent on someone's ability to pay fines or fees. Amendment XXIV of the Constitution states the right to vote shall not be denied or abridged by ""failure to pay poll tax or other tax.""

https://t.co/IBSSnD4fWv",2019-03-19 18:31:00,24,52,0,House,D
133,RepGwenMoore,Great news for our nation's #TransCommunity: Pentagon to let transgender individuals serve openly in the US military https://t.co/dtvPuhm4Gd,2016-06-30 18:47:00,9,8,0,House,D
83,DeanHeller,Thank you to our Veterans for you service! https://t.co/zw6irrD1IW,2017-10-28 16:26:00,8,24,0,,
103,RepMarkWalker,Pray everyday for our law enforcement as they work to keep our communities safe. #NC06 https://t.co/zouRhRzExD,2018-03-20 20:10:00,2,9,0,House,R
40,SteveWorks4You,"RT @stillgray: Purdue University wants to ban the word ""man"" because it is ""offensive."" Welcome to 2018. https://t.co/i9bVc7IIYS",2018-03-13 19:53:00,3037,0,0,House,R
62,RepGwenMoore,"The National Environmental Policy Act gives communities of color a voice against environmental injustice. Every American should have clean water to drink, clean air to breathe, and live without fear of harmful toxins. We must #ProtectNEPA #ForThePeople. https://t.co/liKMsKPm8j",2018-10-05 16:10:00,6,12,0,House,D
134,SteveDaines,"With my dad - a Marine at Marine Parade ""Uncommon valor was a common virtue"" #SemperFi @ Iwo Jima… https://t.co/2aSYE8Qz8C",2015-07-14 23:59:00,0,3,0,Senate,R
27,RepJohnFaso,Coming up on Friday: Veterans Resource Fair at Columbia Greene Community College. The event starts at noon and will serve as a one-stop shop for veterans to learn more about the benefits they’ve earned. https://t.co/QnpmlzI1wE,2018-07-18 22:21:00,1,2,0,House,R
101,michaelgwaltz,Senators stress bipartisanship key to Russia probe https://t.co/nSMbUHAfGm,2017-03-30 19:00:00,0,1,0,House,
5,RepTomMacArthur,"Members of our team in Marlton had a great meeting with Naya, Sherry, Charde, &amp; Chi, students at Rutgers University School of Social Work.",2015-04-30 19:58:00,2,0,0,House,R
76,RepGutierrez,"RT @Fusion: ""We must resist. We must rise up and stand up for American values.""

@RepGutierrez used his time on the House floor to encourag…",2017-07-17 21:07:00,29,0,0,House,D
63,RepWalorski,This is a victory for the brave men and women who risk their lives each day to protect us. #FY18NDAA https://t.co/wb0Kh4T3RT https://t.co/B2E0Uh7RUn,2017-11-15 00:47:00,5,7,0,House,R
85,RepEdRoyce,RT @SpeakerRyan: .@RepEdRoyce is someone who has dedicated his career to pursuing the ideas and values underscored in America's founding do…,2018-11-28 20:08:00,34,0,0,House,R
17,TeamCMR,Home Health Leaders Thank @cathymcmorris for Stressing Detrimental Consequences of Obamacare http://t.co/lPy77XlNeR,2014-03-13 20:01:00,0,0,0,,
22,RepChrisGibson,Enjoying the food and the company at the Sullivan Jones VFW Post breakfast in Poestenkill this fine Sunday morning.  #NY19,2013-07-14 14:04:00,2,0,0,House,R
101,RepLarryBucshon,ICYMI: I spoke today at the @HouseCommerce #SubHealth kickoff hearing on a path to a permanent #SGR solution. https://t.co/zv0RRPTqLI,2015-01-21 22:22:00,1,0,0,House,R
99,ScottPetersSD,The Lao Boat Racing Festival on Mission Bay is the kind of thing I love about my home. Happy… https://t.co/fewufJKU7f,2016-09-10 17:34:00,1,8,0,,
39,CheriBustos,Was proud to welcome @JoeBiden to Rockford yesterday for a get out the vote rally! http://t.co/H990RB84Ex,2014-10-28 14:48:00,3,2,0,,
1,Ann_Kirkpatrick,I had an amazing day at the #TucsonRodeoParade. Tucson is proud of its ranching roots — this parade has been going strong since 1925! I love #AZ02! https://t.co/KS0rbgpFRu,2019-02-22 02:14:00,3,28,0,House,D
75,AustinScottGA08,@Mullis_for_Tift thanks! We'll keep doing our best for GA08,2011-02-04 18:22:00,0,0,0,House,R
69,leezeldin,"RT @FoxNews: .@leezeldin: ""I’m confident that Mr. Trump &amp; @SpeakerRyan &amp; hopefully our former presidents, that they will be able to come to…",2016-05-05 23:44:00,44,0,0,House,R
19,TJCoxCongress,@AynRandPaulRyan @BlueWaveCS @CaptainsLog2O18 @StormResist @1IronMan2018 @JesseFFerguson @jessphoenix2018 @ChetPowell @WatchPresTrump @morethanmySLE @ProudResister @ifindkarma @Jersey_Gulls @Cruellaisdevine @JCTheResistance @chillibeanboy @phillip_woodham @NHWolf75 @fenrir_71 @Phillybred13 @dccc @TeelaResists @BigBlueWaveUSA @ChocoHarveyMilk @AUdebm @Clara_Resists @eorlins @PiperPerabo @TopRopeTravis @RepDavidValadao @eqca @KernDems @FresnoCountyDms @tedlieu @HRC @exoticgamora @goldengateblond @eugenegu @tarastrong @SEIU @SEIU_California @CaliforniaLabor @B52Malmet @altEPASmrtGrwth @EPAFacts_R9 @ActualEPAFacts @alt_4nTrade @tizzywoman @keith_pochick We need leaders in Washington who are championing women’s rights. @Realdonaldtrump is not one. We need to put a stop to it.  No more excuses.  Zero tolerance.  I know how damaging it can be to women to have to face that kind of treatment.  We can’t stand for it.,2018-05-03 00:20:00,30,62,0,,
71,lisamurkowski,Many Alaskans want to know where I stand regarding the appointment of a nominee to replace Justice Scalia on the Supreme Court. (1/5),2016-02-19 00:49:00,9,6,0,Senate,R
40,russfeingold,"Sexual assault remains a devastatingly common occurrence. We can, and we must do better. #SAAM https://t.co/5f1P6FlYI2",2016-04-16 19:00:00,30,25,0,Senate,D
63,USRepGaryPalmer,So good to have my wife Ann with me at the White House today to watch the opening of the US Embassy in Jerusalem via satellite. The US is now the first nation to recognize Jerusalem as Israel's capital. #USEmbassyJerusalem https://t.co/egPhdVym5U,2018-05-14 19:45:00,6,35,0,House,R
3,RepCindyAxne,Had to say a quick thank you to the folks who keep our kids fed and full at Edmunds Elementary. https://t.co/ttWX42LWux,2019-02-22 23:03:00,2,33,0,,
65,RepBost,"Met with members of the National Association of Realtors, including reps from Southern Illinois. #realtors https://t.co/8WA8E2l1f0",2016-05-12 17:24:00,1,2,0,House,R
64,SenatorKirk,VA IG report on Phoenix VA says #veterans waited avg. 115 days for appts - nearly 5x longer than officially reported. This is unacceptable.,2014-05-28 19:52:00,6,1,0,Senate,R
39,RepBetoORourke,"My bipartisan bill, H.R. 973, that was included in this week's FAA Reauthorization will make small airports like El Paso eligible for funds to expand aviation service.

Read more here: https://t.co/kx9pCMMA65",2018-09-28 16:10:00,65,413,0,House,D
84,RepTomReed,RT @IMakeAmerica: Tune into @IMakeAmerica's Twitter feed next Friday at 8 a.m. ET to watch elected officials tackle the top issues on voter…,2018-09-07 16:59:00,3,0,0,House,R
122,farenthold,"OTD in 1935, @TxDPS was established by the Texas legislature.",2017-08-10 16:23:00,0,2,0,House,R
65,DevinNunes,Hail in the Valley this AM. Drive safe https://t.co/ri0Gn8pJxO,2019-11-27 19:16:00,389,2279,0,,
72,Duffy4Wisconsin,"Today, we honor and remember the sacrifice that the Medal of Honor heroes have made for our country #MedalofHonorDay https://t.co/Yh8Uu4snI5",2017-03-25 13:00:00,5,7,0,,
112,RepGoodlatte,At 10AM: @HouseJudiciary Cmte to consider bill calling on State Dept. to recognize Muslim Brotherhood as a foreign terrorist organization.,2016-02-24 14:42:00,4,7,0,House,R
111,RepLouBarletta,"Wishing my colleagues and former teammates, especially my friend @SteveScalise, the best of luck tonight at the Congressional Baseball Game! #CBG18 #ScaliseStrong https://t.co/bFEUgsPCwJ",2018-06-14 22:46:00,10,48,0,House,R
116,GabbyGiffords,I am so glad to hear that @SteveScalise keeps getting better. @ShuttleCDRKelly and I are sending positive energy to him and Jennifer.,2017-06-21 18:13:00,39,401,0,House,D
132,SenatorMenendez,"1️⃣ Change begins at home. We must defend our alliances by making clear to our people exactly what is at stake: nothing short of peace, prosperity, and #democracy itself.",2019-02-18 12:58:00,4,9,0,Senate,D
17,RepPaulTonko,"@ClimateCrisis @USRepKCastor @ArcticPermafrst This powerful research shows us that warming permafrost is now causing increased microbial activity in the WINTER, a new development that is dramatically increasing emissions. This could mean the release of up to 27 BILLION TONS of carbon into the atmosphere by 2100. https://t.co/M3C1jryMpH",2019-10-22 19:19:00,2,6,0,House,D
36,RepMikeRogersAL,Today’s #thirddistrictthursday features the Town of Wadley! #AL03 https://t.co/IwojeGv4gg,2019-09-12 14:37:00,0,1,0,House,R
121,USRepKCastor,"There are 14 shopping days ‘til Christmas, but only 5 shopping days to enroll under https://t.co/rn8S460zXT ! Today some of our neighbors joined @RepCharlieCrist and me at @BayCare 's St. Joseph's to mark the countdown! @CoveringFL #GetCovered https://t.co/93nFSfMpoc",2017-12-11 17:18:00,10,13,0,House,D
91,teammoulton,.@sethmoulton leads letter to @MassGovernor urging public support of #TPS https://t.co/2HuOtPWAP2,2017-11-07 20:08:00,4,5,0,House,D
12,RepJasonCrow,"Colorado’s famous sweet corn, peaches, and cantaloupes are made possible by the 170,000 Coloradans who work in the agriculture industry. Last week, I sat down with a few farmers in #CO06 to hear about their work and the federal issues affecting them. https://t.co/EFZpEhnmhR",2019-04-29 16:06:00,1,30,0,,
100,SupJaniceHahn,This is the last straw-- literally! Say NO THANKS to plastic straws and YES PLEASE to clean beaches &amp; healthy oceans. https://t.co/glPQu5jykF,2018-07-10 00:00:00,4,19,1,House,D
83,TomCottonAR,"I appreciate the continued support of Allen West. I vow to fight for Arkansans, and for a better America!  http://t.co/SfhCobpbBY",2013-11-03 18:29:00,7,2,0,,
33,CongBoyle,"Today, at the Fairmount Water Works, I joined @PennEnvironment and @PennPIRG to kick off local efforts for #nationaldriveelectricweek .

A recent report card gave Pennsylvania a grade of ""F"" for failing to invest in-- 
(1/2)",2019-09-17 19:48:00,2,9,1,,
55,TulsiGabbard,@firebomb56 Today is my birthday - thanks for the kind wishes!,2012-04-13 03:48:00,0,0,0,,
103,RepScottPeters,"40 years ago, the #Pride Flag was created in San Francisco, CA. Learn more about how Lynn Segerblom helped develop the iconic rainbow flag. #PrideMonth
https://t.co/dLFkWcD164",2018-06-08 23:03:00,5,18,0,House,D
77,RepPeteOlson,"Today is all #PurplePride! Our @Fulshear_HS Charger Men’s Soccer team is looking to win 4A Region 3. Game today 10am vs Palestine. When we win, we’re in the TX Final 4! Keep it rolling, guys - we’re so proud of y’all! @Fulshear_Soccer @LamarCISD https://t.co/vUM4GMGvp1",2019-04-13 14:09:00,7,36,0,House,R
10,repcleaver,In 2 weeks @DHSgov will shut down. Tell Republicans to stop playing games with our safety #DontShutDownOurSecurity,2015-02-13 18:05:00,1,0,1,House,D
2,SteveAustria,"From January 1 to April 17, Americans have worked 107 days to pay 29.2% of total income. http://t.co/RbMBSrAO",2012-04-17 21:24:00,0,0,0,House,R
18,SenatorBegich,The Fire Island wind project has a green light. I’m proud to have played a role in the project in Anchorage and DC: http://t.co/q2UkOyPv,2011-10-12 22:16:00,2,0,0,Senate,D
108,TinaSmithMN,"I have long fought to preserve MN's way of life—our lakes, rivers, and forests—while working w/ #cleanenergy businesses to grow jobs. I won’t let Trump, Pruitt, or others roll back progress we’ve made. Proud to have the endorsement of @LCVoters and carry on the fight. https://t.co/ypvyyK62ya",2018-04-10 18:55:00,9,49,1,,
1,ericswalwell,"Your enablers said so. That's not going to be enough, and I'm sure anyone can see why. https://t.co/qjCSHuhxGV",2019-02-13 16:34:00,49,259,1,House,D
24,DustyJohnson,www.southdakotawins.com #sdleg #southdakotawins,2012-01-10 19:50:00,2,0,0,,
9,MarkTakano,"RT @rariel81: Rep @MarkTakano, who used to be a high school English teacher, irks GOP by marking their memos with a red pen http://t.co/0Fw…",2014-11-20 09:20:00,3,0,1,,
37,lutherstrange,ICYMI: October 26th is National Prescription Drug Take-Back Day. The service is free and anonymous. http://t.co/2ROlj92egD,2013-10-25 19:00:00,1,0,0,Senate,R
22,RepCummings,"RT @OversightDems: .@RepCummings: I'm glad the FBI cleared this up, but it is very alarming that Dir. Comey put out a vague ltr 9 days ago.",2016-11-07 00:36:00,33,0,1,House,D
79,RepJohnConyers,Check out my op-ed with @RepWilson at @CNN: U.S. #Jobs Crisis Has Plenty of Solutions http://t.co/6NSb4FuVaU #HR1000 #HR900,2013-09-12 13:58:00,5,0,0,House,D
26,DebbieforFL,RT @BarackObama: Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. https://t.co/xleq3HHSZt #Le…,2016-10-26 02:17:00,1278,0,0,,
125,BillPascrell,"The Affordable Care Act is not perfect, but we need to work together to make it better. Cassidy-Graham certainly does not fit that bill.",2017-09-22 20:44:00,27,80,1,House,D
132,McCaskillOffice,"Claire may have been the first woman elected to the US Senate from #Missouri, but our state has a long history of amazing women.",2016-03-16 20:53:00,3,2,0,,
43,SenatorLankford,"""No religious test shall ever be required..."" seems pretty straightforward to me. #ReligiousFreedom https://t.co/8w8cLVqx7W",2017-06-09 20:32:00,53,167,0,Senate,R
44,SenBlumenthal,"Fired from the White House over security concerns, then immediately hired to a top campaign role? Trump apparently unconcerned with security risks of those who advise him. https://t.co/iIaClzNKes",2018-03-13 21:23:00,180,402,1,Senate,D
89,RepMcKinley,"Today, we welcome @POTUS back to West Virginia for the 6th time since he took office. 6 times in 1 &amp; 1/2 years, whereas President Obama only came to the state 3 times in 8 years. @VP has also visited numerous times, as have several cabinet members. 
https://t.co/FBshZg4WeX",2018-08-21 19:20:00,2,1,0,House,R
25,TeamSheaPorter,RT @politico: Fact check: @realDonaldTrump has broken his commitment to release his tax returns https://t.co/nAnQglKKNt https://t.co/TyFxVy…,2016-10-05 02:05:00,339,0,1,House,D
17,RepScottPeters,RT @Wonkblog: Even the White House seems to be admitting tax cuts won’t pay for themselves https://t.co/HTLqXdgdPt,2017-11-16 18:13:00,11,0,1,House,D
50,SenFranken,.@FCC @RonWyden @SenMarkey @AjitPaiFCC We can't let @AjitPaiFCC destroy the internet as we know it. Here’s a guide on how to make your voice heard: https://t.co/MKiDyzeHFH,2017-05-12 00:08:00,378,471,0,,
12,Gwen4Congress,Love seeing all these friendly faces on the floor. @HillaryClinton is right: We're #StrongerTogether! #DemsInPhilly https://t.co/JrVJYY8UDZ,2016-07-26 00:23:00,3,7,0,,
149,RepDelBene,.@GOP's bill raises #seniors premiums by 70% and cuts more than $100 billion from #Medicare. Seniors already struggle to keep up with costs. https://t.co/ZMgVdpmUPt,2017-03-08 21:02:00,10,14,1,House,D
103,GreggHarper,Serving as a Member of the United States House of Representatives has been the highest privilege and honor of my life. Read my full statement here: https://t.co/h11Veb3F0f,2018-01-04 18:38:00,66,230,0,House,R
115,sendavidperdue,Thanks to @universityofga &amp; President Morehead for coming by the office today. #GoDawgs https://t.co/KoeEmrDu5s,2016-02-03 23:03:00,9,35,0,Senate,R
10,MarkBegich,Latest Begich Blog: Mark Endorsed By Esquire Magazine http://tinyurl.com/5btwog,2008-10-20 22:06:00,0,0,0,,
4,USRepKeating,Happy Mothers Day! #ma10,2011-05-08 15:23:00,0,0,0,House,D
126,RepWebster,My statement on President Trump’s #JointAddress: https://t.co/p8mds1GBIN,2017-03-01 04:03:00,2,6,0,House,R
93,SenStabenow,About to speak on the Senate Floor to mark 100 days since Republicans let funding expire for children’s health insurance and community health centers. Tune in! https://t.co/QIAF1BW391,2018-01-08 23:22:00,172,661,0,Senate,D
365,CoryBooker,I'm grateful to have the support and endorsement of NJ's community of Latino Leaders and look fwd to working with them to serve NJ,2014-10-14 15:52:00,12,31,0,Senate,D
93,ReElectNydia,"José, 5, cried himself to sleep after being separated from his family. There are hundreds more like him. #EndFamilySeparation https://t.co/LJp0uoaYMe",2018-06-12 21:03:00,1,3,0,,
24,ChrisGibsonNY,Today is #SmallBusinessSaturday! #ShopSmall CC @ShopSmall http://t.co/gJcpdoX0lH,2014-11-29 15:34:00,2,4,0,,
33,KarenBassTweets,https://t.co/9Wp7zm7ZVQ,2017-01-06 23:34:00,0,2,0,,
90,JenniferWexton,"Very pleased that the National Intelligence Museum will be coming to eastern Loudoun. It will honor those who have served our country in the intelligence and special ops services, most of whom did so in secrecy. https://t.co/38cfZi2fOY",2018-02-09 18:56:00,4,19,0,,
24,RepKihuen,This afternoon I enjoyed meeting with my good friend @MadonnaLong and @SNJohnsonDC to discuss @access2crt. It is important we expand access to quality complex rehabilitation technology for those living with significant disabilities and chronic medical conditions. #voicesforaccess https://t.co/KZCdp3K6DB,2018-11-14 20:58:00,6,9,0,House,D
